broad_category,product_count,avg_energy_kcal_100g,avg_sugars_100g,avg_salt_100g,avg_saturated_fat_100g,avg_proteins_100g
Beverages,7,46.71,5.64,0.07,0.1,1.69
Snacks,5,537.0,42.28,0.51,13.36,6.7
Dairy,3,94.0,3.57,1.67,1.47,14.03
Sauces,3,412.0,3.03,1.97,3.57,2.5
Spreads,3,342.0,35.8,0.44,4.33,4.53
Soups,2,65.0,3.2,0.82,0.4,2.55
Bakery,1,286.0,3.6,1.3,0.4,8.8
Biscuits and cakes,1,480.0,38.0,0.83,5.2,4.9
Breakfast cereals,1,378.0,8.9,1.0,0.3,7.2
Cereals and potatoes,1,350.0,3.2,0.01,0.5,13.0
Fats and oils,1,824.0,0.0,0.0,14.0,0.0
Fruits and vegetables,1,77.0,16.5,0.01,0.0,0.3
Legumes,1,119.0,0.8,0.75,0.2,6.4
